Score,Ranked,Genres,Type,Episodes,Diffusion started,Diffusion ended,Season diffused,Producers,Licensors,Studios,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Year
9.19,1,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV,64.0,2009-04-05,2010-07-04,Spring 2009,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,R - 17+ (violence & profanity),2248456,183914,171871,1644938.0,75728,32456.0,0.0,2009.0
9.17,2,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,16.0,2020-12-07,,Fall 2020,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,MAPPA,Manga,R - 17+ (violence & profanity),733260,44862,566239,553.0,6658,2090.0,157720.0,2020.0
9.11,3,"Thriller, Sci-Fi",TV,24.0,2011-04-06,2011-09-14,Spring 2011,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,PG-13 - Teens 13 or older,1771162,148452,114349,1134756.0,60926,0.0,425531.0,2011.0
9.1,4,"Action, Adventure, Fantasy, Shounen, Super Power",TV,148.0,2011-10-02,2014-09-24,Fall 2011,"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,PG-13 - Teens 13 or older,1673924,147274,227277,1094486.0,79587,31652.0,240922.0,2011.0
9.1,5,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,2015-04-08,2016-03-30,Spring 2015,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,404121,11868,48011,167130.0,16612,11472.0,160896.0,2015.0
9.1,6,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV,10.0,2019-04-29,2019-07-01,Spring 2019,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,R - 17+ (violence & profanity),1073626,40985,54607,906824.0,5533,3099.0,103563.0,2019.0
9.08,7,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,51.0,2011-04-04,2012-03-26,Spring 2011,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Unknown,Sunrise,Manga,PG-13 - Teens 13 or older,365579,6567,26492,190008.0,10615,7084.0,131380.0,2011.0
9.07,8,"Military, Sci-Fi, Space, Drama",OVA,110.0,1988-01-08,1997-03-17,Winter 1988,"Kitty Films, K-Factory",Sentai Filmworks,"Artland, Magic Bus",Novel,R - 17+ (violence & profanity),230168,13834,25968,52583.0,14911,5950.0,130756.0,1988.0
9.04,9,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13.0,2012-10-04,2013-03-28,Fall 2012,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",Unknown,Sunrise,Manga,PG-13 - Teens 13 or older,222819,2586,7800,143353.0,2753,2012.0,66901.0,2012.0
9.0,10,"Drama, School, Shounen",Movie,1.0,2016-09-17,2016-09-17,Summer 2016,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras","Eleven Arts, NYAV Post",Kyoto Animation,Manga,PG-13 - Teens 13 or older,1387607,62452,30379,1151644.0,4306,0.0,199329.0,2016.0
9.0,11,"Drama, Game, Seinen, Slice of Life",TV,22.0,2017-10-14,2018-03-31,Fall 2017,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Aniplex of America,Shaft,Manga,PG-13 - Teens 13 or older,266243,11133,20273,148885.0,7103,0.0,0.0,2017.0
8.99,12,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12.0,2017-01-09,2017-03-27,Winter 2017,"TV Tokyo, Aniplex, Dentsu, Shueisha",Unknown,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,201735,2397,11770,115105.0,3388,0.0,69199.0,2017.0
8.96,13,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201.0,2006-04-04,2010-03-25,Spring 2006,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,PG-13 - Teens 13 or older,754607,48247,149543,230260.0,87145,39531.0,248128.0,2006.0
8.96,14,"Slice of Life, Comedy, Supernatural, Drama, Romance",TV,24.0,2008-10-03,2009-03-27,Fall 2008,"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,915885,62162,29361,641323.0,16504,13224.0,215473.0,2008.0
8.96,15,"Romance, Supernatural, School, Drama",Movie,1.0,2016-08-26,2016-08-26,Summer 2016,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post",CoMix Wave Films,Original,PG-13 - Teens 13 or older,1726660,71054,40773,1462143.0,4746,2463.0,0.0,2016.0
8.93,16,"Mystery, Comedy, Supernatural, Vampire",TV,7.0,2017-08-12,2017-08-13,Summer 2017,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,R - 17+ (violence & profanity),270878,6113,11467,159101.0,3700,0.0,94913.0,2017.0
8.91,17,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV,25.0,2008-04-06,2008-09-28,Spring 2008,"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,R - 17+ (violence & profanity),1268320,64482,38149,1060730.0,17673,12463.0,139305.0,2008.0
8.87,18,"Comedy, Sports, Drama, School, Shounen",TV,10.0,2016-10-08,2016-12-10,Fall 2016,"TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,PG-13 - Teens 13 or older,727240,12830,27904,619835.0,5355,0.0,71018.0,2016.0
8.86,19,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,14.0,2018-07-09,2018-10-08,Summer 2018,"TV Tokyo, Aniplex, Dentsu, Shueisha",Unknown,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,114591,938,6282,67276.0,1748,0.0,38205.0,2018.0
8.84,20,"Action, Slice of Life, Comedy, Supernatural",TV,13.0,2019-01-07,2019-04-01,Winter 2019,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Funimation,Bones,Web manga,PG-13 - Teens 13 or older,835688,20654,56740,623709.0,10988,4045.0,140206.0,2019.0
8.83,21,"Adventure, Supernatural, Drama",Movie,1.0,2001-07-20,2001-07-20,Summer 2001,Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,PG - Children,1245727,25610,14444,1124666.0,3124,1437.0,102056.0,2001.0
8.81,22,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12.0,2018-01-08,2018-03-26,Winter 2018,"TV Tokyo, Aniplex, Dentsu, Shueisha",Unknown,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,126835,1060,8073,75576.0,2100,1260.0,39826.0,2018.0
8.79,23,"Drama, Historical, Josei",TV,12.0,2017-01-07,2017-03-25,Winter 2017,"Mainichi Broadcasting System, Kodansha, DAX Production, King Records",Unknown,Studio Deen,Manga,PG-13 - Teens 13 or older,140007,2623,9332,57236.0,4650,2887.0,0.0,2017.0
8.79,24,"Action, Supernatural, Magic, Fantasy",Movie,1.0,2020-08-15,2020-08-15,Summer 2020,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,R - 17+ (violence & profanity),127531,2065,3663,19886.0,1396,0.0,102336.0,2020.0
8.78,25,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,1998-04-03,1999-04-24,Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,R - 17+ (violence & profanity),1251960,61971,105808,718161.0,71513,26678.0,329800.0,1998.0
8.78,26,"Mystery, Comedy, Supernatural, Romance, Vampire",TV,26.0,2013-07-07,2013-12-29,Summer 2013,"Aniplex, Kodansha, Cyclone Graphics",Aniplex of America,Shaft,Light novel,R - 17+ (violence & profanity),509401,19644,34059,336572.0,15731,5433.0,117606.0,2013.0
8.76,27,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,2004-04-07,2005-09-28,Spring 2004,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,R+ - Mild Nudity,614100,29436,64648,214491.0,47488,0.0,0.0,2004.0
8.75,28,"Comedy, Sports, Drama, Shounen",TV,75.0,2000-10-04,2002-03-27,Fall 2000,VAP,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,PG-13 - Teens 13 or older,383603,15543,30922,221671.0,19458,0.0,101892.0,2000.0
8.74,29,"Drama, Music, Romance, School, Shounen",TV,22.0,2014-10-10,2015-03-20,Fall 2014,"Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",Aniplex of America,A-1 Pictures,Manga,PG-13 - Teens 13 or older,1442330,69557,78753,1036649.0,39315,0.0,253277.0,2014.0
8.74,30,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",TV,13.0,2017-07-07,2017-09-29,Summer 2017,"Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Global Solutions",Sentai Filmworks,Kinema Citrus,Web manga,R - 17+ (violence & profanity),862410,30354,54029,550412.0,20178,0.0,225771.0,2017.0
8.74,31,"Comedy, Psychological, Romance, School, Seinen",TV,12.0,2020-04-11,2020-06-27,Spring 2020,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,PG-13 - Teens 13 or older,654744,14682,74635,443172.0,9524,4344.0,0.0,2020.0
8.73,32,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4.0,1999-02-20,1999-09-22,Winter 1999,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,R - 17+ (violence & profanity),228484,6111,6359,150183.0,3124,1836.0,0.0,1999.0
8.73,33,"Comedy, Sports, Drama, School, Shounen",TV,25.0,2015-10-04,2016-03-27,Fall 2015,"TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,PG-13 - Teens 13 or older,874150,13879,45223,736157.0,11154,4991.0,76625.0,2015.0
8.72,34,"Action, Adventure, Fantasy",Movie,1.0,1997-07-12,1997-07-12,Summer 1997,"Tokuma Shoten, Nippon Television Network",GKIDS,Studio Ghibli,Original,PG-13 - Teens 13 or older,876813,17114,11422,735624.0,3384,0.0,124997.0,1997.0
8.72,35,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",TV,25.0,2006-10-06,2007-07-29,Fall 2006,"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,R - 17+ (violence & profanity),1583882,90487,69924,1209288.0,40874,30864.0,232932.0,2006.0
8.72,36,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,10.0,2014-04-05,2014-06-21,Spring 2014,"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,PG-13 - Teens 13 or older,226522,1393,12585,113559.0,6095,2606.0,91677.0,2014.0
8.7,37,"Slice of Life, Comedy, Drama, School, Shounen",TV,43.0,1999-06-30,2000-09-17,Spring 1999,"Aniplex, Fuji TV","Discotek Media, Tokyopop",Studio Pierrot,Manga,R - 17+ (violence & profanity),589324,20870,44940,334925.0,32815,18032.0,158612.0,1999.0
8.69,38,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,26.0,2005-10-23,2006-06-19,Fall 2005,"Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Funimation,Artland,Manga,PG-13 - Teens 13 or older,620736,23066,55482,235371.0,42786,0.0,267080.0,2005.0
8.68,39,"Supernatural, Drama, Romance, School",Movie,1.0,2019-06-15,2019-06-15,Spring 2019,"Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",Aniplex of America,CloverWorks,Light novel,PG-13 - Teens 13 or older,359086,6468,8629,259853.0,2035,868.0,87701.0,2019.0
8.67,40,"Action, Drama, Shounen, Slice of Life, Sports",TV,47.0,1980-10-13,1981-08-31,Fall 1980,Annapuru,Unknown,Tokyo Movie Shinsha,Manga,PG-13 - Teens 13 or older,30192,1546,1378,14113.0,657,739.0,13305.0,1980.0
8.67,41,"Adventure, Drama, Fantasy, Romance",Movie,1.0,2004-11-20,2004-11-20,Fall 2004,"d-rights, Tokuma Shoten",Walt Disney Studios,Studio Ghibli,Novel,G - All Ages,847414,17845,8733,754791.0,2283,947.0,80660.0,2004.0
8.67,42,"Comedy, Sports, Drama, Shounen",TV,26.0,2009-01-07,2009-07-01,Winter 2009,"VAP, Kodansha, Nippon Television Network",Unknown,Madhouse,Manga,PG-13 - Teens 13 or older,201421,1598,7005,156501.0,2752,1548.0,33615.0,2009.0
